weaponmadeincountry_inv_1,weaponmadeincountry_inv_2
442,443
1061,3685
494,4914
5593,5594
6147,6148
295,443
9274,6043
6044,6148
10982,10983
3975,443
11628,443
10982,11900
12369,443
349,4914
3273,443
5593,13700
14018,6043
9239,4914
90,14366
989,12050
1059,10460
6431,6043
901,5594
349,5547
10982,12050
22268,443
23142,6148
7836,20347
3307,5547
1320,443
908,6043
116,12417
7836,23847
908,443
6431,443
90,10983
90,5594
901,14189
11963,6043
349,12417
700,443
5593,27722
3124,4914
5593,14993
5593,29257
5752,443
614,6148
1098,14366
1098,23847
349,20845
1061,12050
1098,5594
989,20845
12015,443
90,6148
1098,6148
90,443
989,5594
11663,20845
787,12050
2342,28426
989,6043
4556,37861
972,443
5593,28426
35589,35588
5501,443
1059,4914
2342,10983
7836,11606
5863,6043
154,6043
90,4914
7836,10983
27083,443
10982,42416
1884,443
18879,443
14018,24184
1059,43563
3307,11423
787,35352
6069,20845
1098,443
103,12073
1188,11423
90,46263
5593,23847
700,14189
614,6043
901,47059
1098,5547
4556,5594
787,443
901,37861
700,5594
14018,443
901,37869
1098,19574
103,5594
1061,24184
35589,50916
5593,18056
901,16497
10895,443
787,10983
11663,443
1157,443
3124,52599
1061,45910
7836,5594
700,37869
7836,53688
349,25702
5593,54386
5593,12050
6044,443
787,6148
9239,443
10982,27722
787,4914
8075,6043
2288,6043
2626,19574
309,6043
1061,443
5922,443
14018,4914
2401,443
17027,6043
4556,19574
3124,24184
11607,6043
703,443
494,6043
5593,6148
977,12417
319,6043
9080,6043
787,14189
1059,24184
787,6043
349,5594
11665,49323
5593,9517
3348,443
35589,58865
5593,28224
901,6043
3124,838
977,11423
6069,6043
1062,6043
494,37861
154,443
5593,11606
1098,12417
9239,10983
3078,54745
1061,26982
1061,5594
614,24184
7836,23907
9239,9517
4556,443
1061,45828
7836,30003
61413,443
1059,51865
81,6043
11665,10460
6069,14189
349,62109
90,12050
5505,6043
3307,19574
1061,6043
2129,6043
6044,24184
5593,57044
5593,63419
63553,443
5593,443
90,20845
6044,42416
319,443
1098,6043
5593,29658
6044,4914
6044,10983
5593,24184
891,443
6044,57044
127,6043
1885,6043
7836,43713
309,45828
6044,12050
977,6043
17664,443
1061,4914
901,19574
3124,51865
90,35123
901,443
8749,443
7836,20277
977,6148
22130,4914
5593,42416
7836,6148
10982,67824
1061,25702
349,5701
12164,443
5593,47550
5593,4914
1098,12050
103,19574
1098,24184
10982,6148
787,11606
7836,45355
65804,6043
6069,443
6044,14993
6044,27722
1237,443
5593,6043
349,10983
1098,26982
9239,11606
349,43633
700,6148
1098,20845
65862,6043
45330,6043
11665,24184
9080,16497
901,12417
10982,6043
1061,10983
11607,11606
28813,443
7836,443
7836,9517
90,6043
5108,443
614,443
1098,37342
989,14189
977,20845
103,12417
614,4914
127,443
6044,49316
11665,69489
5010,6043
5593,43713
2342,443
4884,20845
787,5594
1884,6043
5593,63169
154,50916
989,443
1098,14189
11665,43563
7836,29257
349,11423
7836,9409
10982,443
5593,72867
10982,23847
11665,4914
1059,45910
5593,10983
977,5594
7836,73274
977,19574
977,37342
3307,37869
1811,443
2342,6043
309,443
7836,26982
154,20277
3307,68310
9239,6043
1098,4914
116,5547
11663,5547
3975,6043
17726,6043
1059,69489
6044,14189
700,6043
5010,443
614,10983
703,6043
69479,6043
901,11423
1061,20845
349,443
9274,443
154,71369
65804,443
614,5594
6069,5594
7836,42416
5593,67824
1098,72272
6044,5594
8075,443
5593,35352
1062,4914
977,443
4884,6043
700,4914
5593,14189
700,57044
1062,443
10982,5594
6044,75068
1098,10983
5593,49316
13099,6043
17726,443
5593,58413
11959,443
11628,6043
7836,6043
5863,5547
901,5547
4556,6043
75254,6043
1061,6148
3811,6043
977,10983
349,19574
13865,4914
103,6043
494,5547
349,6043
349,53108
6044,6043
700,12050
5593,10459
4884,4914
700,42416
154,23847
38963,443
11665,32384
8749,6043
10982,14366
1824,6043
7836,20845
6432,443
12277,6043
657,6043
3124,45910
