weaponssuchasweapons_1,weaponssuchasweapons_2
1553,838
1928,838
2199,838
2673,838
3110,838
3253,838
3318,838
3573,838
3581,838
4614,838
5033,838
5112,838
5544,838
5796,838
5964,838
6307,838
6545,838
6865,838
7365,838
7678,838
7799,838
7899,838
8014,838
3060,838
8212,838
8274,838
8281,838
8302,838
8615,838
8675,838
9083,838
9220,838
9409,838
10074,838
10167,838
10215,838
10965,838
11037,838
11067,838
11200,838
11623,838
11801,838
11862,838
12089,838
12539,838
12819,838
13263,838
13479,838
13483,838
13621,838
7511,838
13860,838
13899,838
14072,838
14830,838
14936,838
15078,838
15525,838
15579,838
15833,838
15863,838
15877,838
15899,838
16322,838
16810,838
16893,838
17025,838
17240,838
17543,838
17562,838
17797,838
17846,838
17903,838
18056,838
5420,838
18247,838
18348,838
18493,838
18533,838
18862,838
18943,838
19298,838
19313,838
19371,838
19454,838
6592,838
19581,838
8774,838
11807,838
20390,838
20671,838
12381,838
21098,838
21299,838
21509,838
19315,838
22645,838
22928,838
23022,838
23026,838
23338,838
23345,838
23627,838
23790,838
12250,838
23903,838
24218,838
24519,838
24688,838
24763,838
24977,838
25120,838
25244,838
25836,838
25901,838
25985,838
26095,838
26186,838
26392,838
26834,838
7416,838
5567,838
26947,838
18137,838
27366,838
27575,838
4375,838
28076,838
28127,838
28219,838
28241,838
28486,838
26982,838
28763,838
28872,838
29210,838
29439,838
29531,838
6043,838
29638,838
29658,838
29921,838
30049,838
30221,838
30329,838
12808,838
30358,838
30445,838
20724,838
30662,838
31318,838
31328,838
31421,838
14876,838
31562,838
9138,838
31645,838
32235,838
20330,838
32580,838
32759,838
32915,838
32918,838
32987,838
33385,838
33406,838
33414,838
33492,838
33530,838
33562,838
33834,838
33901,838
34007,838
34269,838
22019,838
34568,838
34611,838
34628,838
34710,838
34712,838
34939,838
34966,838
35135,838
35200,838
35451,838
35786,838
36007,838
36073,838
36119,838
36135,838
23847,838
36647,838
7775,838
33697,10074
27505,838
36748,838
36820,838
36959,838
37029,838
35881,838
37543,838
37549,838
37742,838
37892,838
37939,838
38014,838
38088,838
38183,838
38263,838
38584,838
38634,838
38843,838
29183,838
38980,838
39209,838
39211,838
33697,19574
19829,838
39787,838
40019,838
40116,838
40258,838
40450,838
40680,838
40943,838
41077,838
41088,838
4505,838
40357,838
4103,838
41390,838
41599,838
41699,838
41905,838
41548,838
42200,838
17926,838
42258,838
28426,838
26889,838
22325,838
42693,838
42737,838
36953,838
42812,838
42880,838
43164,838
43268,838
37302,838
43515,838
43529,838
14714,838
43727,838
43812,838
43951,838
43990,838
44043,838
44162,838
44296,838
44380,838
17522,838
44552,838
5701,838
44652,838
44691,838
44754,838
16314,838
44769,838
44857,838
45121,838
45177,838
45218,838
45241,838
45343,838
45355,838
45395,838
45402,838
45419,838
45448,838
45544,838
7809,838
36635,838
45610,838
45772,838
11813,838
43713,838
46002,838
46059,838
46349,838
46569,838
46579,838
46668,838
47043,838
47121,838
47148,838
35123,838
10460,838
47555,838
47584,838
47659,838
47684,838
18856,838
47802,838
47858,838
48067,838
48219,838
25522,838
48265,838
48320,838
31162,838
48432,838
48433,838
48505,838
48539,838
24035,838
48678,838
48776,838
29267,838
48969,838
26404,838
47059,838
49050,838
49148,838
49325,838
49498,838
49567,838
42244,838
49718,838
37342,838
49802,838
49828,838
50000,838
20329,838
443,838
50205,838
50244,838
50302,838
6459,838
50438,838
50507,838
28224,838
39860,838
33076,838
9342,838
51109,838
51183,838
51249,838
51375,838
11198,838
51493,838
51507,838
51579,838
51730,838
51786,838
51906,838
52264,838
6731,838
30911,838
52832,838
52904,838
52994,838
26948,838
53053,838
53108,838
53159,838
27053,838
53251,838
53261,838
19718,838
53400,838
53521,838
53537,838
53592,838
37077,838
53647,838
29469,838
53903,838
24188,838
54152,838
54246,838
54266,838
54327,838
54414,838
50998,838
46219,838
54717,838
54863,838
54938,838
55030,838
55041,838
54471,838
55204,838
55322,838
46626,838
33905,838
21840,838
55895,838
55987,838
28177,838
56220,838
56326,838
45039,838
2915,838
56495,838
56723,838
46786,838
38459,838
56915,838
56918,838
57071,838
15789,838
57245,838
43643,838
36850,838
55898,838
57634,838
57658,838
57728,838
57737,838
57753,838
57817,838
46048,838
33878,838
58236,838
58273,838
58431,838
25693,838
11566,838
58571,838
58713,838
40638,838
2441,838
59010,838
21757,838
32761,838
59222,838
59279,838
3213,838
38805,838
32023,838
59521,838
21029,838
50223,838
43877,838
59720,838
15005,838
59956,838
60097,838
60230,838
60277,838
32499,838
60354,838
60455,838
60520,838
56984,838
12435,838
60571,838
6530,838
60769,838
54745,838
30199,838
28936,838
24957,838
61094,838
61203,838
61296,838
61322,838
18927,838
61384,838
61389,838
61396,838
53607,838
61593,838
61669,838
49316,838
61753,838
1691,838
33576,838
61968,838
60931,838
62092,838
41232,838
57919,838
62245,838
62255,838
62298,838
57780,838
51224,838
61074,838
62630,838
62726,838
40104,838
15005,15004
30860,838
38971,838
57385,838
63003,838
63036,838
63065,838
63068,838
63167,838
63233,838
54644,838
45203,838
63393,838
63415,838
63436,838
63472,838
63556,838
37158,838
63602,838
54374,838
63667,838
63683,838
51166,838
63748,838
61461,838
62772,838
41920,838
63867,838
63917,838
63938,838
64000,838
64036,838
64047,838
64092,838
46082,838
51695,838
47997,838
64352,838
64521,838
64557,838
64600,838
27849,838
64710,838
64767,838
11111,838
25314,838
64924,838
60363,838
64992,838
38377,838
65005,838
65186,838
65207,838
65223,838
28150,838
8375,838
49437,838
50147,838
65439,838
65542,838
65574,838
25879,838
65688,838
65765,838
56110,838
63618,838
65916,838
65926,838
52866,838
48418,838
41250,838
20277,838
24219,838
53333,838
55521,838
66139,838
66146,838
66148,838
66257,838
16879,838
15895,838
66270,838
66353,838
66429,838
66587,838
66592,838
66650,838
66715,838
66716,838
37888,838
66760,838
37094,838
65109,838
66897,838
65629,838
66937,838
66962,838
66984,838
67100,838
64632,838
24184,838
67184,838
66258,838
67228,838
12050,838
67271,838
54954,838
26218,838
67289,838
53311,838
67367,838
66892,838
67457,838
16618,838
13964,838
48530,838
67758,838
67759,838
43458,838
39896,838
53688,838
67917,838
67929,838
45043,838
57437,838
68169,838
68273,838
54208,838
63466,838
68367,838
68384,838
68387,838
4914,838
68303,838
48549,838
52179,838
68497,838
36932,838
68699,838
12073,838
68800,838
68916,838
11900,838
68955,838
1233,838
43633,838
69125,838
54819,838
51580,838
12542,838
68898,838
60093,838
65908,838
14448,838
45557,838
28169,838
64822,838
69518,838
15786,838
69567,838
15005,11623
66317,838
69681,838
52538,838
64712,838
29268,838
839,838
68646,838
59375,838
60693,838
68186,838
55454,838
57095,838
59742,838
44637,838
33697,43633
17449,838
70424,838
70499,838
43713,43712
1778,838
70594,838
39939,838
69461,838
37233,838
13661,838
70745,838
53520,838
38248,838
70814,838
70820,838
67755,838
70854,838
70888,838
43712,838
70945,838
14307,838
45342,838
71048,838
71057,838
56456,838
20441,838
50844,838
71192,838
58543,838
71268,838
71285,838
70215,838
58256,838
68073,838
57219,838
15372,838
14985,838
71496,838
71511,838
39815,838
58684,838
64212,838
63953,838
21406,838
56913,838
50916,838
41812,838
65169,838
71667,838
65138,838
5700,838
47534,838
65102,838
71751,838
67097,838
11090,838
32798,838
28918,838
46353,838
29388,838
60154,838
72239,838
43853,838
66774,838
58955,838
60559,838
68148,838
56211,838
70328,838
44096,838
1396,838
72434,838
23692,838
51703,838
55113,838
47070,838
55509,838
