member_holonym_1,member_holonym_2
6590,7748
9046,29910
5879,29788
36038,28763
3049,35606
35281,3056
31558,20189
27944,33916
13287,29536
29158,12685
30544,35253
26512,29174
5783,32798
17916,17119
3094,1474
19707,10772
21569,34974
20171,29148
1077,31247
16371,15876
31780,13335
26831,35679
17963,32064
28842,22490
2733,12685
25786,35334
9908,19641
33936,28451
28507,16510
22096,35024
12189,30856
28388,36583
36997,15487
14150,19224
13133,34364
21345,9181
32312,13261
2439,5441
36003,13517
3624,17865
15441,11991
35484,13261
1925,21382
26697,23504
22184,15956
23532,23309
23141,35428
30216,12711
22163,32982
34376,31207
14639,36867
24844,15433
26673,7880
18409,1925
15417,29143
35576,10401
26964,15241
3313,27532
8407,17072
18333,37042
15888,14550
15442,11991
6039,8566
5896,13011
23873,29183
7661,23836
20687,13261
35447,14431
2076,33142
24423,28508
9978,1176
26281,36468
29453,36441
2137,31258
36847,36612
23092,20642
30856,25712
5246,16801
34771,35435
6032,25208
10036,15774
32349,12217
5893,29524
17138,25008
13070,36427
3115,17346
16546,10580
27020,29978
21061,18092
8008,13133
28313,22659
10032,32305
17364,34388
34888,31842
12128,104
6022,25554
4332,28797
18346,20353
13871,11616
25974,13261
25654,6793
36982,16066
32064,4688
16952,30815
16565,26431
10033,32305
15972,12038
9366,20213
29065,15760
25039,9492
14503,8434
26725,22785
35748,21575
28656,12066
12682,15757
15973,12038
8182,24183
19586,31108
31245,13745
8584,11727
5164,35831
22549,21199
4111,35712
25326,17034
34312,16970
17113,9492
25225,36545
23495,24642
18525,31258
22719,32304
15235,2176
10828,24106
28837,22869
20710,12685
28511,237
25867,16659
32485,24493
26504,29681
6333,32384
36878,35781
25892,15876
3065,2631
7539,11390
26306,35837
9785,23688
30244,28441
31462,23452
24720,35844
13973,24944
35339,17943
36844,36826
369,20687
11425,5636
8751,22991
19845,6759
34354,15755
33061,23071
19033,15546
20540,34364
8737,23446
12228,29909
1746,10792
29205,11527
28262,24401
26581,27363
17108,9726
4153,34489
20180,29174
23352,29143
27871,20126
6779,35016
35416,15613
32310,13611
19126,12711
6968,29174
32417,26674
7467,30084
35890,33696
35326,34795
17302,20126
32219,32840
29507,18609
14321,14229
17559,12161
16257,3363
17628,10026
24335,31475
23268,31780
14192,34619
31053,36208
33775,17386
27372,35630
1965,36829
19907,21307
27330,36957
11819,26281
19348,22246
15410,13261
16059,9523
4276,30736
26299,36140
28791,8067
1009,17330
9713,26033
28520,79
35472,13957
30898,8279
25449,13357
35353,34035
21789,28508
34217,20098
33529,25044
1996,3130
5915,12711
14249,16510
27982,33164
15727,3458
25241,36208
5212,1746
21240,29174
27156,9614
14633,4612
20979,20873
6720,36924
34334,32880
20378,6755
29000,34386
35777,4536
25263,35540
33530,25044
14899,29148
27954,34035
5151,36433
5699,3063
12417,24190
17346,35219
8827,20792
17621,10312
14902,12685
35852,34969
12088,34384
8494,31124
32129,35718
11913,23442
13349,28077
28721,26673
26917,17087
27815,22010
36850,36826
26554,28330
34012,26504
17120,9492
22780,14278
25984,13261
103,12745
6530,26504
27085,28273
17014,29174
4318,29541
33259,33509
812,23542
19188,27320
3743,14602
34453,12882
1588,15876
13316,29143
25319,1119
23313,30541
34701,5170
14847,30830
10656,29691
35135,8105
30384,24321
13288,30017
28382,20873
36886,35781
3110,34246
12091,34364
34580,8967
24535,25437
22250,14346
6721,37011
18596,29331
37012,15487
8639,10328
12025,36446
27191,25058
6753,19650
31385,9726
17825,20482
12143,32792
36362,19274
27129,10609
8572,28812
13746,15876
33312,31911
12442,7162
27034,29955
745,25712
32655,35945
16510,28514
22773,30968
32271,31469
29897,6759
27247,23373
6389,14602
20508,35671
33805,16659
16168,22744
17577,28218
35072,10155
7934,32257
12166,32138
10863,23375
26522,29475
20701,13321
2205,13261
12402,24839
1992,36250
29536,34364
23641,36887
35773,4832
18446,1324
14753,1119
28502,17254
12065,18907
33299,16001
26598,27153
12629,1430
36331,36734
31241,30673
8967,16659
35642,25335
