member_of_domain_region_1,member_of_domain_region_2
37057,40176
36843,3810
22684,18786
36895,20637
22684,14688
36843,3816
36852,13749
36843,1745
22684,31095
22684,24940
37077,25215
40217,40516
36880,17023
22684,4486
36975,28416
36843,40709
22684,22908
22684,35202
38739,39251
36947,19034
36867,39988
40484,9781
36829,30927
22684,22947
36828,12527
16070,21125
36880,39593
22684,8630
22684,35258
39175,40109
36828,24800
36880,17046
22684,429
36839,38801
39049,39921
36942,39708
22684,14789
22684,14790
22684,10692
22684,27068
38114,40285
36828,24857
36880,17101
22684,4565
22684,2518
36899,26724
22684,471
36843,34611
22684,29134
22684,12747
36843,28470
36850,11872
22684,31184
37053,40393
36828,4397
22684,29160
36991,40307
22684,20956
22684,8672
22684,20981
36977,30480
22684,493
22684,18925
39382,17373
36864,40135
22684,39403
22684,8684
16070,8927
36829,4397
22684,31238
22684,6665
22684,27145
36850,26284
36906,38882
22684,10753
36843,22409
36828,22873
36828,8537
22684,27162
22684,18969
39157,38719
36852,40541
39664,39389
22684,33297
22684,35344
22684,6693
40701,40048
37981,17873
22684,27164
36829,22873
22684,16928
36972,38893
22684,31284
22684,2618
37070,19473
36828,14687
22684,33335
36973,38870
36947,29435
36967,39061
36906,24565
22684,33352
22684,23111
22684,25148
37077,39788
36843,16326
36893,22971
37003,40012
36864,15654
22684,12888
36828,10629
22684,31307
22684,27217
22684,35407
22684,14950
39624,40734
22684,23146
36828,4528
22684,12894
36843,18406
22684,25205
38717,40157
22684,2669
22684,29294
36896,39273
22684,8814
22684,2668
36859,32230
39762,38494
37897,41050
37897,8283
36930,40311
37054,40543
38744,37303
36934,40165
36893,14817
36864,40291
22684,31383
22684,35470
36895,12710
22684,21132
22684,27305
22684,27303
22684,4766
36880,31659
22684,10933
36950,11034
36828,39397
22684,19117
36899,24910
37077,25575
36843,10301
37869,9219
22684,33481
36828,16913
22684,27326
22684,25276
36862,15868
37897,8356
40555,40647
36899,14692
36828,33279
36828,10753
22684,6862
22684,17099
22684,19176
22684,35549
22684,33504
37038,39087
40423,18118
22684,29427
22684,15085
22684,8939
22684,4849
22684,25327
22684,27396
22684,13059
22684,31498
22684,6919
22684,23303
36880,15368
36975,14471
22684,23295
22684,35603
36883,23446
22684,23319
37031,39346
37897,16635
37077,40005
22684,35619
22684,809
22684,2846
36828,6774
36907,39139
37070,40235
36852,38799
37028,39488
22684,39711
36829,39489
36947,23547
22684,17196
36970,22837
22684,31558
22684,11079
22684,33598
40701,40340
36828,10904
22684,17217
22684,27476
22684,23379
36828,33408
22684,11095
37003,40270
22684,7011
40422,38773
36880,27754
22684,35682
36832,21024
22684,39795
36829,39554
22684,35706
22684,21368
39581,32075
36828,19114
36930,38477
22684,19312
22684,31621
36969,39358
22684,13180
36828,6848
22684,29594
22684,33689
40484,36873
36970,8593
22684,9099
36843,18677
22684,25510
22684,7077
22684,15259
36864,40603
36893,11034
37070,40336
36864,40576
22684,21422
40555,38809
22684,33735
22684,33723
36893,25398
22684,27583
22684,9173
22684,3030
22684,35796
36875,40267
37053,38850
22684,21465
22684,33751
22684,19408
36828,39687
22684,21476
22684,11235
22684,35811
40685,38940
22684,29659
36829,17177
36829,11034
36843,18763
36874,40332
36828,23326
36828,21279
22684,27639
22684,19442
36843,16727
22684,17406
22684,27645
36934,38528
22684,11259
36828,33624
22684,17407
22684,23573
36829,23326
22684,21530
22684,21517
22684,21516
22684,19493
37003,38462
22684,3101
22684,17437
22684,31778
39664,39948
36828,25436
36843,8593
37011,7481
22684,31788
22684,15404
22684,25668
40484,39123
22684,19530
22684,13386
22684,21576
36880,40265
22684,23613
39581,38458
16070,17711
22684,25683
22684,5209
37007,40409
36850,32991
22684,29775
36835,39635
36859,30705
36947,1353
22684,19560
22684,23646
36869,30396
22684,17499
36970,35463
36869,26305
22684,13409
36852,30927
22684,19552
22684,9312
22684,25715
