part_of_1,part_of_2
39147,38881
38585,39919
9221,16294
20458,3832
40171,39902
19523,35
17406,129
36828,37021
39210,36906
40172,39852
22303,28566
39209,36941
40930,40942
5472,1463
19732,18152
40442,39724
25573,944
40196,39157
39208,37017
35557,10939
39735,37077
5038,23129
18204,1
11068,24614
40004,36899
22521,13654
40413,40609
40171,39919
20741,27873
26361,1101
39472,37017
16397,6886
39213,36858
20813,17440
14647,36559
39653,39600
35061,18115
12020,11507
27252,14461
4957,9286
38561,40731
38685,36887
32119,27418
40696,40086
38593,39740
14394,19841
5662,12015
39679,38815
39370,40206
2235,36337
16702,38416
38886,38835
38827,40663
17372,25842
12067,10076
38885,38906
37039,38786
38952,36832
37368,4019
36836,36895
31120,1101
38682,36991
3771,29710
30726,29688
7806,35702
38947,36974
40534,36968
39741,36975
24410,28903
37044,38663
21091,708
30137,23391
39210,37059
818,6586
182,34496
2774,27873
39949,38729
39211,37031
19902,13013
17556,36589
6049,87
39738,37054
40614,18090
39899,40261
11602,32751
38950,36911
40350,18090
24777,17557
6952,29447
15348,23127
40528,28996
37897,36828
40363,25919
2257,11158
28351,5061
14210,1070
15281,633
23960,1938
16733,12980
26110,826
25288,26309
5559,23501
20012,17831
18522,14872
23935,19098
27799,5799
39294,18090
40945,32482
5397,28534
27720,24656
30137,7075
38880,39157
19963,35741
37014,39664
38657,29688
21105,33105
11103,40076
22171,16448
16702,22145
26594,18594
39420,38807
24470,27096
8413,25171
1433,28561
38601,39600
29462,28008
26784,4556
38427,36843
765,8320
5575,23050
36839,36923
10303,23946
27142,18028
38583,40206
36982,40686
38692,36828
29189,11910
37044,38767
25016,26585
28858,30392
40269,37070
8414,25171
7428,6586
2201,12975
38875,39333
13407,17852
21783,12137
40538,36930
37045,38717
1455,3337
23769,24303
2015,18749
16702,22196
30631,24596
19627,13459
40277,36869
4178,853
8161,260
36556,21156
36981,40751
25496,11740
35873,1371
39662,39564
40014,36843
15976,36526
36350,2941
29756,10778
10292,40711
10527,660
36803,29863
30860,17509
12244,29349
36989,40484
39916,39860
38639,38493
38874,39397
38599,39766
22303,4263
40198,39349
38953,36991
14296,14906
39218,36968
18742,40922
39392,39774
40419,40677
3933,24878
21853,10038
32270,6603
38951,37032
15836,40916
39104,40479
40535,37078
40725,39387
16328,9274
38428,36866
26010,4050
22706,40942
11740,36812
29717,12013
40751,38582
31433,7964
38958,36828
22145,982
40941,40884
19256,8619
22566,20717
30835,1949
26943,32489
31682,260
40923,8727
24496,34609
25305,1339
36359,19117
31362,26585
39395,39693
27716,16730
28527,32547
23887,20741
40743,38906
8157,8681
39374,40390
37048,38767
39483,37017
6274,9711
39920,39852
40187,39766
40015,36881
39679,39103
14234,8727
40244,37981
23924,19621
1703,36738
40452,39766
32925,27343
38590,40147
39372,40479
39431,38650
4107,27765
362,29170
36431,582
10780,17509
31180,15913
27556,13570
6078,7629
36845,36881
30944,31415
39960,38626
36116,18564
25545,26773
39226,36843
16793,11362
38956,37020
36848,36832
40487,38717
39680,39157
33785,8913
13613,3448
12601,2048
40715,39821
36201,15913
40275,37077
24247,34258
38957,36975
23766,32781
489,8892
38891,30832
7841,26737
28248,338
23405,35775
36536,13727
118,20400
619,13066
27716,33231
13218,7525
1304,25
17144,513
34512,35555
40690,16070
35910,8603
39751,36991
40019,36874
39967,38493
28056,6298
39669,39537
40731,39382
14174,27060
37004,40203
39755,36843
658,36458
40718,39766
38407,4910
39662,39733
6664,5926
36831,37387
39398,39766
15212,19472
39160,38958
37052,38767
24847,15704
8959,16715
39485,37078
40020,36880
26066,27060
36116,26804
16897,25
4910,27549
21818,35889
40228,38596
39222,37017
36496,31415
23949,2593
26585,2795
40022,36843
4178,9301
39105,40692
2029,26773
40476,39157
39925,39852
402,3485
4703,33996
34062,25001
38701,36843
2954,6298
25325,17320
22150,17440
30530,11614
40550,36843
4436,17703
38695,37009
39396,39852
9829,22556
1323,7722
31859,19585
2529,3111
15937,21632
10472,35411
16672,7041
4358,28337
39756,36910
40546,36995
99,4724
24036,8155
39492,36906
38627,39143
23269,31950
11247,11407
39753,37054
36487,31807
39114,40484
6856,24656
40730,39537
38431,37056
39371,40684
7807,3376
38629,39114
40163,40713
37080,37981
40206,39382
39110,40590
38642,38720
40716,39960
36853,36832
21313,27060
22403,1463
29329,7964
38871,39852
40024,36876
32820,30827
25118,15619
5800,24656
40431,16070
40749,38986
37823,39581
38439,36869
8692,540
9221,25103
4180,25734
39414,39382
26747,6104
39230,36893
40286,36925
40478,39170
37021,39846
40549,36974
30396,24050
31543,13067
34187,13014
39402,39766
12940,16323
34476,28634
38968,36874
39973,38485
34421,13990
39760,36895
40195,15225
37031,39581
8678,33766
466,26198
40467,39564
22152,1101
18090,12335
2020,19000
20964,13378
37082,37981
39493,36968
40460,39766
6105,23442
5787,540
15534,26068
1245,10270
9513,24303
40290,36886
39498,36862
38659,38301
39235,36828
21369,9017
9803,7124
40026,36859
20276,34734
39110,40684
17604,27457
38704,36883
24605,15225
40287,36968
38581,40703
39763,36828
23329,30193
391,4002
39966,38732
22393,34638
10760,2049
39839,18090
8893,2593
3428,40934
1425,12921
24539,25473
37000,40608
39176,38692
14736,34470
39435,38828
19019,24578
33816,25
35363,17604
659,3909
5275,24656
38437,37000
39405,39766
7211,21991
6488,3448
32892,20519
39442,38663
37046,39209
37067,38559
31023,4724
3238,30479
4883,36829
40289,36985
34411,22596
16150,7041
21857,18532
39659,40134
22316,12521
14478,1533
37031,39664
19672,12556
11487,36921
39175,38739
10809,25171
19704,11566
10087,6603
40495,38815
15225,35741
38883,39634
33468,10897
40470,39600
38972,36886
21020,19934
23301,22948
37048,39190
18124,3237
26934,467
39766,36828
37031,39691
