synset_domain_topic_of_1,synset_domain_topic_of_2
31749,6066
5214,25824
30065,17308
5932,36341
40900,17308
26409,7752
37513,24005
21080,17308
19263,16313
5972,2349
29461,19658
18209,32592
2324,752
35655,24243
13252,14237
31869,2349
38458,11077
27001,30378
19486,25798
17372,25798
28423,2699
40901,17308
25309,17308
23867,29246
34484,11414
30821,18490
29662,13459
11127,6418
23009,6709
11010,1852
2167,5654
4698,17308
40902,17308
7831,2106
38018,16603
33654,20816
6502,2349
20892,6817
20226,11077
27284,13459
22601,19372
24264,25178
22642,34523
12751,13459
18705,17308
38990,11077
37990,1117
36137,25798
38725,11077
22467,23585
40575,11077
15149,29246
39955,13911
40857,2336
40311,11077
1793,17308
17198,6709
24618,6066
16056,17529
40048,11077
21091,708
19098,29721
35279,19658
25741,4013
22049,3780
2949,6066
20292,17308
2213,4311
14535,7353
20919,6066
24738,18762
8697,16313
40905,17308
20028,17308
7223,29246
33469,2048
29042,20
23422,2210
17633,9656
11935,6066
23034,6066
40914,625
8656,25798
14049,6066
17133,586
24770,25970
20483,11414
8698,16313
32147,2106
22051,3780
38971,36341
29014,17308
32890,20030
21879,17308
27703,625
9059,13332
20708,29068
25246,11261
21590,1721
13809,29944
13503,6672
39500,36341
38443,36341
9399,2833
5451,18734
1986,19658
8075,11127
39788,11077
22574,4013
33343,14246
31602,2689
5452,18734
21226,21271
31364,26476
1987,19658
19987,2349
32700,9656
10785,17270
29433,20816
32648,11261
8749,6672
37194,9634
27632,2933
16866,33572
4082,12095
2495,28522
10380,13459
22942,17270
21338,9656
36359,19117
21798,36341
31908,9656
39239,36341
6557,17308
24527,17308
27888,11414
14222,17270
26291,36341
13791,6066
30748,4694
2878,307
40889,9794
28061,6066
40911,17308
37935,11261
13957,17308
27931,26476
880,29490
13643,18872
31301,28522
23569,6066
15113,6066
13958,17308
30273,11261
3916,17308
2429,6066
11010,2195
23041,6066
3312,19658
38899,22368
35911,307
1108,6066
19772,17308
13644,18872
40904,25798
1927,5266
16171,6066
40884,18223
20338,7977
36016,5266
37725,9634
36277,29944
12736,6066
33413,20426
11415,6066
38000,1117
17571,3638
14916,20426
21359,17308
6189,4243
6296,17308
29675,5266
20690,5266
38106,6066
2277,35406
37169,2349
32292,14246
6504,2689
25842,25798
