synset_domain_usage_of_1,synset_domain_usage_of_2
33787,2283
40988,2283
10199,2359
6655,25187
28373,32891
7349,25187
27540,30035
23379,2359
29628,32891
33725,32891
2476,32891
36516,25187
11181,25187
21536,32891
35174,2283
11323,2359
30209,30263
23634,25187
842,25187
36220,31302
17391,25187
24691,25187
19559,13274
11810,7739
28075,22684
29811,25187
22677,25187
15001,13274
19978,2359
40986,30035
3419,25187
5368,25187
40987,2359
36691,30035
26311,25187
40992,31873
24428,25187
11462,32891
37249,26054
22182,25187
942,25187
22248,25187
35349,13274
198,32891
35283,13274
21042,32891
6006,2359
18747,25187
35174,2359
23768,25187
25894,2283
32191,25187
34537,25187
36399,2283
28260,25187
27476,30035
16798,25187
33687,2359
23613,2359
15526,32891
18526,2359
7294,30035
38648,32891
33787,26912
35470,30035
20498,25187
32003,2359
29715,31302
35065,25187
14685,25187
29814,25187
23835,25187
481,25187
10820,25187
28205,2359
40877,20161
40989,2359
24958,25187
33761,32891
33695,32891
26454,2359
14932,32891
6812,28615
1388,22684
25894,26912
10110,32891
16617,32891
4545,25187
34737,25187
22865,12286
22680,25187
29203,32891
17212,32891
22305,28615
366,32891
18362,30035
14696,2359
17362,25187
6140,30035
25894,2359
35532,7739
28925,31302
5471,25187
36555,25187
3324,25187
40991,2359
40964,32891
9106,7739
18033,2359
2169,31302
16909,30035
29562,2359
20345,30035
13409,2359
18297,30035
17033,25187
22219,25187
18078,13274
27586,32891
35068,25187
11037,32891
15943,25187
22823,2359
5637,25187
19619,2359
29618,25187
21294,25187
550,25187
9865,25187
2685,13274
17343,2283
36469,2283
25841,13274
11995,32891
33604,13274
33698,32891
18817,25187
26084,25187
8659,32891
2377,2359
17574,2283
3368,2359
12457,22684
9254,32891
28373,30035
10989,25187
12359,32891
26316,25187
25259,25187
18635,32891
33022,31302
9833,25187
28942,32891
40999,32891
25776,13274
8462,32891
30427,22684
20088,22684
5176,25187
35235,25187
17574,26912
10411,32891
11155,25187
11395,30035
23387,2359
8050,25187
12774,25187
4961,32891
15846,25187
29729,2359
10933,30035
18471,32891
9123,32891
5606,25187
28497,25187
40983,25187
30924,32891
32900,30035
40994,2359
31216,2359
17343,26912
4000,2283
23807,25187
38309,31302
17343,2359
17961,25187
37318,31302
23247,31302
27583,2359
13018,2283
751,25187
2088,32891
4962,32891
18669,22684
20612,30035
35897,25187
33849,25187
21049,15471
6631,25187
27561,13274
23577,25187
10430,25187
2551,32891
8887,2359
34856,22684
15715,25187
10562,25187
26814,25187
34214,25187
12785,2360
20977,2359
36469,2359
35734,30263
12082,25187
22797,2283
26187,25187
4728,2283
19596,32891
18292,25187
34907,25187
20241,25187
19184,25187
18127,25187
16319,30035
32969,2359
32876,32891
23545,25187
13018,26912
10464,25187
40995,30035
4000,26912
9781,26912
7434,30035
12654,2359
1231,32891
21002,25187
18921,25187
35247,30035
32150,15471
16063,32891
26462,2359
12083,25187
40985,32380
12744,25187
35049,30035
336,2283
23248,25187
29645,13274
17435,25187
23886,2359
17469,31302
27988,32891
1331,32891
30796,15471
10309,30035
13480,30035
29954,25187
11603,22684
30327,2359
25544,32891
34843,25187
29360,25187
24372,25187
18030,25187
29699,30035
22797,26912
16652,30035
19484,25187
25869,2359
26489,10787
25760,25187
40990,21048
12430,22684
36145,2283
32217,32891
2191,32891
14538,30035
38211,20161
16791,32891
11235,30035
1384,7739
12052,25187
32548,32891
26277,13274
30625,30035
5759,32891
14605,30035
27512,25187
36711,32891
19560,30035
15554,25187
7609,32891
36612,32891
210,32891
35549,2359
2065,13274
14286,12286
3943,32891
25200,25187
35923,13274
7967,2359
25101,25187
36509,2283
27281,25187
14084,32891
21709,2359
36145,26912
31889,32891
3168,25187
25531,25187
4093,25187
9225,2283
12570,13274
15093,25187
8024,25187
28768,25187
27723,2283
16501,13274
19453,25187
35251,30035
17835,25187
24887,15471
26954,10787
560,31302
35978,30035
10502,25187
349,13274
27448,25187
