p5_1,p5_2
12,13
16,13
19,20
50,13
66,67
115,67
119,120
123,13
139,20
142,13
144,145
148,13
162,145
163,120
273,145
281,13
324,120
346,145
358,145
380,13
390,145
391,13
401,13
429,430
445,67
449,20
468,145
474,13
475,67
493,145
503,13
504,505
537,120
538,145
370,67
560,13
564,145
587,13
589,13
592,13
629,430
631,13
666,13
671,13
694,13
697,13
718,120
732,13
733,145
734,13
406,430
740,741
746,13
752,145
753,13
754,145
756,145
759,13
771,145
102,780
782,145
787,145
790,145
800,20
805,13
849,145
863,430
868,145
875,13
883,145
871,67
889,430
899,430
903,13
909,13
935,430
939,13
948,67
950,951
959,13
135,145
968,145
990,120
994,13
999,13
1008,145
1015,67
1024,13
1031,13
634,67
1060,13
1067,13
1071,13
1085,13
955,67
1092,13
1112,13
1144,430
288,120
1178,13
1180,13
535,67
1215,145
1221,13
1238,145
1254,13
840,430
1281,13
1297,145
1300,145
1311,20
1312,67
822,1321
1323,13
1326,145
126,430
1340,13
1341,13
1355,67
1365,145
1367,13
1374,13
1030,67
1383,13
1398,13
1110,13
1427,13
1437,145
1453,13
1455,145
1459,145
1460,13
1467,120
1468,145
1476,145
1500,145
1504,13
1522,145
536,67
1550,13
1551,13
1557,430
1566,13
532,67
1569,430
1574,20
1584,13
1585,13
1589,145
1591,430
1593,145
1606,13
1607,13
1611,13
1618,430
1634,13
1653,145
1675,145
1690,13
1702,13
1704,13
1707,13
1709,430
550,67
1732,13
1734,13
335,780
1750,145
1756,145
1760,13
1763,13
1782,145
1791,13
1800,67
1801,13
1804,120
1812,145
1832,13
1837,13
519,120
1858,13
1863,145
1864,13
396,20
1407,67
1905,13
1908,145
1910,13
1922,145
1948,13
1303,430
494,120
1965,145
1985,13
2003,145
1730,67
591,145
2008,67
2032,145
2035,13
2051,13
2054,13
1417,430
2056,145
2068,13
2086,13
565,13
2098,13
2100,145
2104,13
2109,145
2113,67
2126,13
2131,67
2141,145
207,2146
2149,13
2015,1321
